distance (mm),height (um)
0.328795313,1.915067297
0.330263149,1.907174264
0.331730985,1.898717917
0.333198821,1.8909777349999999
0.334666658,1.8910249060000002
0.336134494,1.897341252
0.33760233,1.909362361
0.339070166,1.932230816
0.340538003,1.9886498830000001
0.342005839,2.076921342
0.343473675,2.151455038
0.344941511,2.232004113
0.346409347,2.299544086
0.347877184,2.3657774639999998
0.34934502,2.4149897080000002
0.350812856,2.443072798
0.352280692,2.4474454970000004
0.353748528,2.425490578
0.355216365,2.395282936
0.356684201,2.356533309
0.358152037,2.298739302
0.359619873,2.230932643
0.36108771,2.1648103
0.362555546,2.1030380060000002
0.364023382,2.062201665
0.365491218,2.025881377
0.366959054,1.9892423060000002
0.368426891,1.958016271
0.369894727,1.924724584
0.371362563,1.887747963
0.372830399,1.845863681
0.374298236,1.799025167
0.375766072,1.7453478820000001
0.377233908,1.704289961
0.378701744,1.670883102
0.38016958,1.638329715
0.381637417,1.611296457
0.383105253,1.599650393
0.384573089,1.603413229
0.386040925,1.6088434930000002
0.387508761,1.607235139
0.388976598,1.5944496529999999
0.390444434,1.5637395429999998
0.39191227,1.51864402
0.393380106,1.46774573
0.394847943,1.419254746
0.396315779,1.356752938
0.397783615,1.2741477079999999
0.399251451,1.184509679
0.400719287,1.0960884690000001
0.402187124,1.019500018
0.40365496,0.9738437105000001
0.405122796,0.9593710945
0.406590632,0.956257779
0.408058469,0.9367525805
0.409526305,0.9111165452000001
0.410994141,0.8780105193000001
0.412461977,0.839683445
0.413929813,0.8211975645
0.41539765,0.8187578494000001
0.416865486,0.8044011731
0.418333322,0.7957393165
0.419801158,0.7953364117
0.421268994,0.797840552
0.422736831,0.8176634983000001
0.424204667,0.8457046315
0.425672503,0.8816335363
0.427140339,0.9103619758999999
0.428608176,0.9308771643
0.430076012,0.9437085335000001
0.431543848,0.9484186995999999
0.433011684,0.951973457
0.43447952,0.9687799599
0.435947357,1.007798509
0.437415193,1.043114764
0.438883029,1.076251829
0.440350865,1.084718975
0.441818702,1.0898578749999999
0.443286538,1.077028629
0.444754374,1.0579504819999999
0.44622221,1.039563566
0.447690046,1.035672106
0.449157883,1.035995132
0.450625719,1.044680456
0.452093555,1.0592304959999999
0.453561391,1.072836229
0.455029227,1.081589215
0.456497064,1.088695525
0.4579649,1.095044148
0.459432736,1.103894616
0.460900572,1.116263493
0.462368409,1.127395331
0.463836245,1.146517276
0.465304081,1.169788165
0.466771917,1.1864479289999998
0.468239753,1.199531617
0.46970759,1.198836636
0.471175426,1.183988482
