wavelength (nm),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
401.61,9.8428094,8.528996600000001,10.299938000000001,9.108390000000002,8.793856,9.163963,9.29,7.7931744,7.6520415999999996,8.306339,8.8764166,8.291177,8.939524,7.815958,7.866416599999999,6.647539699999999,7.572028,6.5111536,5.765510000000001,5.3028485,5.0547476,6.380208,5.919048,8.483224,5.960961,6.282500000000001,5.9102746999999995,5.480711,6.254107,6.9586250000000005,5.343333,5.5754443,5.8280835,5.7398663,9.173618,4.884622,4.8719643999999995,4.8763333,3.7277777,5.0579327,4.8464905,5.775454999999999,5.447912,4.7648718,4.7501679999999995,9.391820699999998,4.2947406,4.9410156,3.7990474999999995,4.1900832999999995,4.446316,4.7764,4.276625000000001,3.9809525000000003,4.5406598,3.9433846999999993,10.770093,3.4908163,4.712185,5.284883,4.365,3.7444583000000002,3.5672083,3.4377777,3.7162668,3.6454584,3.6625713999999996,8.870767,3.5378676999999996,3.0301780000000003,8.813218,8.922617
403.62,10.726388,9.234566999999998,11.954024999999998,10.573777,10.286929,10.585963,11.017858,8.4375,8.3912085,9.241071,10.056667,9.139216,9.1615967,8.5175415,8.627125,7.1011505,8.3305597,6.199039,6.201174,7.588666399999999,7.003081,6.76325,6.808095,9.202105000000001,6.402210999999999,7.530536000000001,5.6784609999999995,6.010666499999999,5.5899554,6.4723749999999995,5.1178223,6.435555399999999,6.399416499999999,5.314911,9.951283,4.981680600000001,5.5906696,5.658963,5.0821033,6.074808,5.873798,5.737045,5.256648599999999,5.049282,5.567521,10.255154,5.2204846,5.0282422,4.743,4.9173333999999995,4.7945203,4.3974667,3.4272082999999993,4.5460477,6.261631999999999,4.5679486,11.512043,4.5429593,5.467999999999999,5.678633,4.7147916,4.1504584,3.9795,3.4819556,3.5853333000000003,3.5197915999999996,3.6525714000000002,8.867222000000002,3.0448898,2.6590667999999997,9.2308307,9.0628516
405.64,9.9122076,8.500727000000001,10.279814,9.280588400000001,9.560326499999999,9.777037000000002,10.42567,8.620476,7.552375,8.674643,9.633125,8.379255,8.925714,7.9926666,7.7830835,7.355238,8.236573499999999,6.0985254,6.753775600000001,6.241515000000001,5.355252699999999,5.7285,5.5479047,8.766414000000001,5.0604807,6.172768,5.0434616000000005,4.8807556000000005,5.0131250000000005,5.954624999999999,5.670711,5.955148299999999,6.2410834,5.878304000000001,9.334539,4.155588399999999,5.4936609999999995,4.710333299999999,4.849206199999999,5.6124036,5.737164,5.475284,5.852252999999999,4.9046667,4.900168,9.562885,4.81,4.9658203,4.4851904000000005,4.0865417,4.7141177,3.9936,3.8703333,4.075,4.9177084,4.142871700000001,10.406719,3.9760205,5.156445,4.5111327999999995,4.333374999999999,4.187749999999999,3.5062917999999996,4.460400000000001,4.008399999999999,4.0872915999999995,3.0559048,8.698095,3.2004044,2.8979109999999997,8.9582007,9.0334375
407.66,10.218662,8.31301,9.958143,9.0803406,8.999542,9.871259,10.1695984,8.512103,7.6650836,8.4911163,9.156583,7.9583923,8.169048,7.332917,7.472708,6.603135,8.5032166,6.333717699999999,6.800255,6.2306665,5.951414,6.0032916,6.373333000000001,8.035559,4.8669232,5.9645087,5.169231,5.5476,5.3092413,5.7419165,4.8181332,5.1995556999999994,5.5004584,5.326695999999999,9.029012999999999,4.7281512,5.451071,4.89,4.6546826,5.0348557000000005,5.4486536,5.173182000000001,4.8887912,5.0867178,5.008109,8.806302500000001,4.507681600000001,4.3075,3.4665714,3.9655000000000005,4.2652942,4.4316,3.7394583000000003,3.9280000000000004,4.6887152,4.037846,9.945201399999998,3.4328570000000003,4.6825925,5.6470703,4.6855832,4.000333299999999,3.71,3.1898665999999998,3.5021335000000002,3.4976666000000005,3.062,8.330952,2.9665808,2.4159555,8.886955,8.344922
409.68,9.968796,8.61346,9.591362,8.8787305,8.8110455,9.542889,10.404911,7.983889000000001,7.727291999999999,8.4620087,8.988875,8.3735297,8.2265265,8.065916999999999,7.996708399999999,7.2660315,8.702797,5.6595514,5.889541,5.981394,5.5175757,6.110333000000001,6.4139526,8.156579,5.4038464,6.7370087,4.858242,5.203066400000001,4.9023215,6.194667,5.4239999999999995,5.321962999999999,5.595,5.292008699999999,8.650163999999998,4.344748,4.674509,4.828036999999999,4.835238,4.9011057,5.4849036,5.337045000000001,4.884615500000001,4.962615400000001,5.337857,8.516919000000001,4.7148788,4.5954297,4.0923334,3.9469583000000004,4.258823499999999,4.4861334,4.018625,3.8547619999999996,5.200347000000001,3.8466153000000003,9.968606600000001,3.0859183000000003,4.6688146999999995,5.748125,4.315625,3.8227499999999996,3.5011667,3.0629333,2.973289,2.6297083,3.0573809999999995,7.9970105,2.9974633999999996,2.6583112,8.024083,8.121835999999998
411.7,9.9153845,8.527647,10.265573,9.107678,9.142091699999998,9.6532965,10.1819196,7.40123,7.3405414,8.559018,9.030000000000001,7.801607699999999,8.205714,7.150917,7.5589580000000005,7.129286,8.4965735,5.84,6.022296,6.069576,5.18,6.114083000000001,6.558428300000001,8.462336,5.643317,6.8226337,5.0087912,5.3948,4.9713840000000005,5.84075,5.1636,5.4816296,5.418958,5.669554000000001,8.660987,4.4741177,5.1364734,4.7806668000000005,4.937460300000001,5.520721399999999,5.477308,5.424034000000001,4.8066483,5.249231,5.1268910000000005,8.572661,5.005744,5.1297266,4.1633334,3.7619168000000003,4.242910200000001,4.1954666,4.194416800000001,4.2979047,5.349514,4.8641025,10.000774,4.088163,5.277296,5.818281,4.0994583,4.2590832999999995,3.7143332,3.7417776,3.8581331999999997,3.5068332,3.3043331999999994,8.381798999999999,2.9605515000000002,2.7980444,8.995916999999999,9.031132999999999
413.72,9.289264,8.2722144,10.322291,9.4120435,9.1003595,9.443147999999999,10.0529016,7.779166999999999,7.894792000000001,8.537768,9.295208,8.480784,8.014733999999999,8.082917,7.763375,7.088570999999999,8.6361536,5.5210895,6.104949,5.956424,5.500404,5.991625000000001,6.716619,8.728223999999999,5.5068269999999995,6.646964000000001,5.108956,5.5455554,5.345089,6.139792,5.7885333,5.766667,5.3444586,5.6035266,8.813651,4.417521,4.978527,5.1194073,4.551627,5.194231,5.463461,5.5287500000000005,4.759120800000001,5.1673334,5.0636554,8.7820447,5.072595199999999,4.641953,4.3747620000000005,4.428999999999999,4.729875999999999,4.412,4.0342084,4.2520953,5.350139,4.5115897,10.319196,3.7460205,4.7364444,5.458867,4.2167084,3.9327499999999995,3.4704165999999996,3.0584888,3.2855112000000006,3.3402084000000007,2.957619,8.521878000000001,3.0365808,2.5418222,8.666436,8.330508
415.74,9.755318,8.3883734,9.801238399999999,9.312415,8.840489999999999,9.734777999999999,10.0154016,7.787222000000001,7.950417,8.482768,9.174583,8.378863,8.109076,7.8677079999999995,8.1181665,7.3571029999999995,8.325873999999999,5.994039,5.8312244,6.172909,5.731667,6.160958000000001,6.3749524,8.154046,5.635624999999999,7.0259374999999995,5.323516,5.5870667,5.861964,6.4599164,5.0428888,5.640963,5.9963750000000005,5.9633484,8.756579,4.1919748,4.667143,4.967185000000001,4.8587302,5.149086,5.594327,5.486932,5.1002197,5.5796410000000005,5.0531512,8.542829000000001,4.8708652,4.7595312,4.1498096,4.0401666,4.469226,4.264710999999999,4.4425418,3.8678570000000003,5.423333,4.490564,9.5555725,3.6955611999999998,5.2272595,5.415547,4.4256668,4.0874582,3.379125,3.1387112000000004,3.8084445000000002,3.3221667000000004,3.0239046999999997,8.228333000000001,2.6734926999999997,2.4607555999999997,8.253564,8.201991999999999
417.76,9.979532,8.456574,10.126966,8.9671826,9.12598,9.483259,10.2975,8.1113495,8.0755414,8.4594196,9.0930835,8.224667,8.1793555,7.514791999999999,7.5854584,6.9845636,8.666643,5.329167,5.637245,6.2013940000000005,5.3834344,6.187,6.7371906,8.335493000000001,6.0486536,7.2012946,5.722033,5.993289,5.6531696,6.7280413999999995,5.350133,5.4581854,5.793458,5.778661,8.585033000000001,4.6394116,5.0308035,4.8327408,4.7789285,5.4285095,5.885625,5.3886365,5.349945,5.4235895,5.268235499999999,8.742185,4.937958399999999,5.1063279999999995,3.735238,4.000249999999999,4.4283902,4.2488,4.31975,4.041238000000001,5.6238196,4.5993332,10.421332,4.3026532,5.2694073,5.741874999999999,4.3897916,4.9275418,3.3686666999999995,3.4283554,3.9593331999999997,3.8303750000000005,3.187857,8.252063600000001,3.3715441999999998,2.8094222999999996,8.468339,8.291797
419.78,9.3572577,8.2682355,9.8643036,9.2240247,9.454902,9.4656665,10.036339000000002,7.686310000000001,7.6710834000000006,8.268749999999999,8.5568335,8.3327454,7.789159499999999,7.255333,7.9679584,7.118889,9.086294,6.0797437,6.025459,6.896606000000001,5.7209595,6.427625000000001,6.8602856,7.984933999999999,5.9394714,7.028304,5.580055,5.9160889999999995,5.2415625,6.653499999999999,5.807066700000001,5.500333,5.8075,6.021429,8.719572,4.7264285,5.5164290000000005,4.813,4.9023413,5.0327884,5.862548,5.8960230000000005,5.6857690000000005,5.135487,5.150126299999999,8.734734,5.03609,5.1565234,4.2943332000000005,3.9099166999999997,4.4218884,4.347378,4.0539584,4.19,5.646493,4.6232822,10.188266,3.4302550000000003,4.790147999999999,5.3040234,4.252000000000001,4.25575,3.3549582,3.2036000000000002,4.0271555,3.5030832,3.2737619999999996,8.2464813,3.4307352,2.7068000000000003,8.792456699999999,8.436640599999999
